Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Ian Happ#,30,CHC,NL,0.5,26,128,112,21,30,5,0,2,13,1,1,15,21,.268,.352,.366,.718,105,.334,114,41,2,0,0,1,0,*7,,happia01
2,Kyle Tucker*,28,CHC,NL,1.4,26,123,102,25,32,8,2,7,25,7,0,20,15,.314,.423,.637,1.060,197,.455,192,65,1,0,0,1,3,*9/D,,tuckeky01
3,Jarren Duran*,28,BOS,AL,-0.1,25,119,108,11,27,6,2,1,11,7,2,8,25,.250,.311,.370,.681,94,.315,95,40,1,2,0,1,0,*7/89,,duranja01
4,Rafael Devers*,28,BOS,AL,0.2,26,117,94,15,19,7,0,2,14,0,0,21,34,.202,.342,.340,.682,96,.321,103,32,2,0,0,2,2,*D,,deverra01
5,Bo Bichette,27,TOR,AL,0.4,25,116,108,9,32,8,0,0,13,2,1,5,16,.296,.336,.370,.707,106,.313,102,40,2,2,0,1,1,*6,,bichebo01
6,Corbin Carroll*,24,ARI,NL,1.7,24,114,101,23,33,8,1,9,22,4,0,10,26,.327,.404,.693,1.097,200,.468,200,70,1,3,0,0,1,*9/H,,carroco02
7,Alex Bregman,31,BOS,AL,1.4,25,113,100,16,31,10,0,4,19,1,1,9,21,.310,.381,.530,.911,157,.401,162,53,1,3,0,1,0,*5,,bregmal01
8,Jackson Chourio,21,MIL,NL,0.5,25,113,109,19,27,8,1,5,20,2,2,2,29,.248,.265,.477,.743,102,.333,110,52,3,1,0,1,0,*79/D,,chourja01
9,Xavier Edwards#,25,MIA,NL,0.2,24,113,99,11,28,3,0,0,7,6,2,12,20,.283,.363,.313,.676,87,.318,88,31,0,1,0,1,1,*6/D,,edwarxa01
10,Bryce Harper*,32,PHI,NL,1.0,25,113,92,17,23,4,0,5,14,6,0,21,21,.250,.389,.457,.846,137,.382,135,42,2,0,0,0,2,*3,,harpebr03
11,Aaron Judge,33,NYY,AL,2.1,25,113,94,23,39,7,1,7,26,3,1,17,23,.415,.513,.734,1.247,258,.526,256,69,3,2,0,0,3,*9/D,,judgeaa01
12,Lars Nootbaar*,27,STL,NL,1.0,24,113,92,14,22,3,0,4,14,3,0,20,18,.239,.381,.402,.783,121,.364,128,37,2,1,0,0,2,*7/9DH,,nootbla01
13,Dansby Swanson,31,CHC,NL,0.1,26,113,104,16,20,4,1,4,15,3,0,7,33,.192,.241,.365,.606,70,.279,67,38,1,0,1,1,0,*6,,swansda01
14,Willy Adames,29,SFG,NL,-0.8,25,112,101,13,20,4,0,1,11,1,1,10,28,.198,.268,.267,.535,56,.242,53,27,0,0,0,1,0,*6/D,,adamewi01
15,Kyle Schwarber*,32,PHI,NL,0.9,25,112,89,18,23,1,1,7,16,2,1,21,24,.258,.411,.528,.939,161,.415,168,47,0,2,0,0,1,*D/7,,schwaky01
16,Pete Crow-Armstrong*,23,CHC,NL,1.7,26,111,102,21,30,9,1,5,17,10,1,6,26,.294,.339,.549,.888,148,.399,148,56,0,1,2,0,0,*8,,crowape01
17,Heliot Ramos,25,SFG,NL,0.1,25,111,103,17,24,7,0,3,10,2,0,6,28,.233,.279,.388,.668,92,.305,94,40,3,1,0,1,0,*7/D,,ramoshe02
18,Bryan Reynolds#,30,PIT,NL,-0.1,24,111,99,11,26,4,0,3,13,1,2,9,34,.263,.324,.394,.718,100,.307,93,39,1,1,0,2,1,D/9,,reynobr01
19,Vladimir Guerrero Jr.,26,TOR,AL,0.5,25,110,94,9,26,6,0,1,10,0,1,14,18,.277,.373,.372,.745,119,.328,116,35,3,1,0,1,1,*3/DH,,guerrvl02
20,Francisco Lindor#,31,NYM,NL,0.8,24,110,97,18,30,4,0,5,14,2,0,8,17,.309,.364,.505,.869,146,.384,148,49,1,2,0,3,0,*6,,lindofr01
21,Julio Rodríguez,24,SEA,AL,0.6,24,110,94,18,19,3,2,3,9,5,1,13,26,.202,.318,.372,.691,110,.322,115,35,0,3,0,0,1,*8/H,,rodriju01
22,Juan Soto*,26,NYM,NL,0.6,25,110,90,17,21,5,0,3,12,2,0,19,16,.233,.364,.389,.753,116,.347,121,35,5,0,0,1,2,*9,,sotoju01
23,Spencer Torkelson,25,DET,AL,1.1,25,110,91,17,24,7,0,7,21,1,0,15,30,.264,.373,.571,.944,172,.401,165,52,1,2,0,2,1,*3/D,,torkesp01
24,Brice Turang*,25,MIL,NL,1.2,25,110,100,24,35,2,0,3,14,8,1,6,21,.350,.385,.460,.845,135,.406,151,46,0,1,1,2,0,*4,,turanbr02
25,Pete Alonso,30,NYM,NL,1.8,25,109,91,15,31,11,1,6,26,0,0,14,15,.341,.440,.681,1.122,216,.470,213,62,2,3,0,1,1,*3,,alonspe01
26,Elly De La Cruz#,23,CIN,NL,0.6,25,109,98,17,24,3,0,5,22,10,2,11,35,.245,.321,.429,.750,103,.337,96,42,0,0,0,0,2,*6,,delacel01
27,Geraldo Perdomo#,25,ARI,NL,1.3,24,109,86,12,23,4,0,3,19,4,0,17,11,.267,.374,.419,.792,121,.366,125,36,1,0,2,4,0,*6,,perdoge01
28,Cal Raleigh#,28,SEA,AL,1.2,24,109,94,14,22,5,0,9,16,3,0,14,30,.234,.339,.574,.914,173,.392,166,54,1,1,0,0,2,*2/D,,raleica01
29,Brent Rooker,30,ATH,AL,0.2,24,109,102,15,24,2,1,7,13,0,1,7,29,.235,.284,.480,.765,116,.325,112,49,2,0,0,0,0,*D/79,,rookebr01
30,Randy Arozarena,30,SEA,AL,0.5,24,108,88,10,18,6,0,4,17,7,0,16,30,.205,.352,.409,.761,132,.358,134,36,2,4,0,0,0,*7,,arozara01
31,Matt Chapman,32,SFG,NL,1.4,25,107,83,13,19,4,0,4,14,3,1,24,25,.229,.402,.422,.824,140,.372,144,35,0,0,0,0,0,*5,,chapmma01
32,Jazz Chisholm Jr.*,27,NYY,AL,1.0,25,107,91,15,15,2,0,7,15,6,0,12,33,.165,.280,.418,.698,100,.331,104,38,1,3,0,1,0,*4,,chishja01
33,Yandy Díaz,33,TBR,AL,-0.1,24,107,100,10,23,6,0,3,11,1,0,6,14,.230,.271,.380,.651,88,.287,83,38,4,0,0,1,0,*D/3,,diazya01
34,TJ Friedl*,29,CIN,NL,0.5,23,106,95,13,28,5,1,1,11,5,2,8,16,.295,.352,.400,.752,106,.335,103,38,2,1,1,1,0,*8/D,,friedtj01
35,Shohei Ohtani*,30,LAD,NL,0.7,23,106,92,23,24,1,1,6,8,5,1,14,27,.261,.358,.489,.848,142,.378,143,45,0,0,0,0,2,*D,,ohtansh01
36,Anthony Santander#,30,TOR,AL,-0.3,24,106,95,7,18,4,0,2,8,0,0,10,26,.189,.264,.295,.559,63,.252,59,28,3,0,0,1,0,D/97,,santaan02
37,Fernando Tatis Jr.,26,SDP,NL,2.0,24,106,93,23,31,1,1,8,17,7,1,12,16,.333,.406,.624,1.029,185,.481,209,58,1,0,0,1,1,*9/D,,tatisfe02
38,Jose Altuve,35,HOU,AL,-0.2,24,105,99,13,29,2,0,3,9,3,2,5,22,.293,.324,.404,.728,112,.315,107,40,2,0,0,1,1,7/D4,,altuvjo01
39,Willson Contreras,33,STL,NL,-0.4,24,105,95,10,19,4,0,2,9,2,0,7,30,.200,.269,.305,.574,62,.259,51,29,4,2,1,0,1,*3/D,,contrwi01
40,Andrés Giménez*,26,TOR,AL,0.8,25,105,93,14,18,4,0,3,8,8,1,8,20,.194,.276,.333,.610,77,.289,75,31,0,3,0,1,0,*4/H,,gimenan01
41,Paul Goldschmidt,37,NYY,AL,0.7,25,105,94,12,36,7,0,1,9,1,0,8,21,.383,.433,.489,.922,168,.401,164,46,3,1,0,1,1,*3/DH,,goldspa01
42,Steven Kwan*,27,CLE,AL,1.4,24,105,95,17,32,3,0,4,14,4,0,8,11,.337,.394,.495,.889,159,.406,164,47,0,1,1,0,0,*7,,kwanst01
43,Josh Naylor*,28,ARI,NL,0.8,24,105,92,14,30,6,0,4,16,4,2,12,9,.326,.400,.522,.922,155,.408,162,48,5,0,0,1,1,*3/D,,naylojo01
44,Anthony Volpe,24,NYY,AL,0.8,25,105,91,12,18,5,0,4,15,3,2,12,31,.198,.295,.385,.680,96,.296,91,35,1,1,0,1,0,*6,,volpean01
45,Bobby Witt Jr.,25,KCR,AL,1.2,24,105,91,15,28,9,0,2,9,7,2,11,15,.308,.381,.473,.853,145,.401,160,43,0,1,0,2,3,*6,,wittbo02
46,Lawrence Butler*,24,ATH,AL,0.6,24,104,91,15,25,5,0,4,7,5,1,13,17,.275,.365,.462,.827,138,.370,136,42,1,0,0,0,0,*9,,butlela01
47,Isaac Paredes,26,HOU,AL,1.1,24,104,90,10,21,1,0,4,13,0,0,12,19,.233,.337,.378,.714,109,.332,117,34,2,2,0,0,0,*5,,paredis01
48,Austin Riley,28,ATL,NL,1.0,24,104,98,12,29,4,0,6,16,0,0,5,32,.296,.337,.520,.857,135,.378,140,51,0,1,0,0,0,*5,,rileyau01
49,James Wood*,22,WSN,NL,1.1,24,104,90,17,23,5,0,8,18,3,2,13,27,.256,.356,.578,.934,161,.401,163,52,1,1,0,0,0,*7/D,,woodja03
50,Ozzie Albies#,28,ATL,NL,0.2,24,103,94,12,22,3,0,4,11,2,0,9,13,.234,.301,.394,.695,92,.309,87,37,1,0,0,0,0,*4,,albieoz01
